순번,일자,항공사,기종,비행단계,탑승,사망,사고 개요
1,2022-01-03,SA Airlink,BAe 4121 Jetstream 41,LDG,7,0,"SA Airlink 소속 BAe 4121 Jetstream 41 항공기가 남아프리카 Venetia Mine 공항에 착륙 중 조류충돌로 우측 엔진 프로펠러가 절단되었으나 무사히 착륙, 인명피해 없음. "
2,2022-01-04,LANHSA,BAe 3101 Jetstream 31,LDG,19,0,"LANHSA 소속 BAe 3101 Jetstream 31 항공기가 온두라스 Roatan 공항에 착륙 중 우측 랜딩기어가 무너지면서 우측 엔진 프로펠러가 활주로에서 부딪혀 항공기가 활주로에서 이탈하였으나, 인명피해 없음."
3,2022-01-05,Caspian Airlines,Boeing 737-4H6,LDG,126,0,"Caspian Airlines 소속 Boeing 737-4H6 항공기가 이란 Isfahan-Shahid Beheshti 공항에 착륙 중 좌측 랜딩기어가 무너지며 활주로 옆으로 정지, 승객 5명이 부상을 당함."
4,2022-01-08,"Aviastar-TU, opf. Cainiao",Tupolev Tu-204-100C,STD,8,0,"Aviastar-TU 소속 Tupolev Tu-204-100C 항공기가 중국 Hangzhou 공항에서 출발 준비 중 화물칸에서 화재 발생하여 날개 뒤쪽 동체 전소, 인명피해 없음."
5,2022-01-12,Private,Beech 200 Super King Air,STD,,0,"마약을 수송하던 Beech 200 Super King Air 항공기가 벨리즈 Grhem Creek지역에서 전소된 채 발견, 현장에서 마약은 발견되지 않음."
6,2022-01-19,Mahan Air,Cessna 208B Grand Caravan EX,LDG,18,0,"Mahan Air 소속 Cessna 208B Grand Caravan EX 항공기가 낮은 시정으로 이란 Arzuiyeh 지역 농경지에 비상착륙, 인명피해 없음."
7,2022-01-22,JetBlue Airways,Airbus A320-232,TOF,,0,"JetBlue Airways 소속 Airbus A320-232 항공기가 미국 콜로라도 Hayden-Yampa Valley 공항에서 이륙 중 테일스트라이크가 발생하여 Denver 공항으로 회항 후 무사 착륙, 인명피해 없음. "
8,2022-01-27,Volare Aviation,Bombardier Challenger 604,LDG,7,0,"Volare Aviation 소속 Bombardier Challenger 604 항공기가 그리스 Heraklion-N. Kazantzakis 공항에 착륙 중 노즈 랜딩기어가 무너졌으나, 인명피해 없음."
9,2022-01-31,Lima Delta Co Trustee,Bombardier Challenger 604,LDG,2,0,"Lima Delta Co Trustee 소속 Bombardier Challenger 604 항공기가 영국 London-Stansted 공항에 착륙 중 측풍으로 인해 좌측 날개와 전방 하부 동체에 손상을 입었으나, 인명피해 없음."
10,2022-01-31,"Royal Canadian Air Force - RCAF, opf. Air Tindi",Beech B300 King Air 350,LDG,3,0,"Royal Canadian Air Force 소속 Beech B300 King Air 350 항공기가 캐나다 Thunder Bay 공항에 착륙 중 활주로를 이탈하였으나, 인명피해 없음."
11,2022-02-02,Skyview LLC,Hawker 1000,STD,0,0,"Skyview LLC 소속 Hawker 1000 항공기가 미국 Islip-Long Island MacArthur 공항에 주기 중 근처에서 시동을 걸던 다른 항공기가 오작동으로 Hawker 1000에 충돌하였으나, 인명피해 없음."
12,2022-02-05,Care Aviation,Cessna 208B Grand Caravan ,UNK,0,,"Care Aviation 소속 Cessna 208B Grand Caravan 항공기가 남수단 New Fangak 부근 비평지지역에서 전복되었으며, 탑승자 및 사고 원인 불명확함."
13,2022-02-07,Finnair,Embraer ERJ-190-100LR,STD,41,0,"Finnair 소속 Embraer ERJ-190-100LR 항공기가 덴마크 Copenhagen 공항에서 항공기 스탠드의 탑승교의 잘못된 조작으로 인해 동체 표면이 파손되었으나, 인명피해 없음."
14,2022-02-08,South Sudanese Air Force,Antonov An-26,LDG,12,0,"South Sudanese Air Force 소속 Antonov An-26 항공기가 남수단 Agok 활주로에 착륙 중 활주로의 포트홀에 부딪혀 좌측 날개가 동체에서 분리되었으나, 인명피해 없음."
15,2022-02-11,Aviajet SA,Cessna 501 Citation I/SP,LDG,,0,"Aviajet SA 소속 Cessna 501 Citation I/SP 항공기가 아르헨티나 Moron-Ituzaingo 공항에 착륙 중 랜딩기어가 일부 파손되었으나, 인명피해 없음. "
16,2022-02-11,Kamchatsky Krechet,Antonov An-2R,ICL,2,2,"Kamchatsky Krechet 소속 Antonov An-2R 항공기가 러시아 Koryaki 지역에서 이륙 중 실속으로 인해 추락하여 화재 발생, 탑승자 2명 전원 사망함."
17,2022-02-14,Doren Air Congo,Let L-410UVP-E3,UNK,2,0,"Doren Air Congo 소속 Let L-410UVP-E3 항공기가 콩고공화국 Bukavu-Kavumu 공항에서 이륙 후 화재가 발생으로 즉시 이륙공항으로 회항하여 대피, 항공기는 전소하였으나 인명피해 없음. "
18,2022-02-25,BN-2A-9 Islander,Air Flamenco,LDG,3,0,"Air Flamenco 소속 BN-2A-9 Islander 항공기가 훈련비행으로 푸에르토리코 Culebra 공항에 착륙 중 활주로를 이탈하였으나, 인명피해 없음. "
19,2022-02-15,Delta Air Lines,Airbus A319-114,TOF,,0,"Delta Air Lines 소속 Airbus A319-114 항공기가 멕시코 Mexico City 공항에서 엔진 고장으로 이륙 포기, 우측 타이어가 손상되었으나 인명피해 없음."
20,2022-02-16,Colcharter,Swearingen SA226-AT Merlin IV,TXI,5,0,"Colcharter 소속 Swearingen SA226-AT Merlin IV 항공기가 콜롬비아 San Andres Island-Gustavo Rojas Pinilla 공항에서 이륙을 위해 지상이동 중 우측 엔진 이상으로 경로를 벗어나 공항 경계 아스팔트 벽에 충돌하여 정지, 인명피해 없음."
21,2022-02-18,Eclipse Transport,Embraer EMB-500 Phenom 100E,LDG,1,0,"Eclipse Transport 소속 Embraer EMB-500 Phenom 100E 항공기가 미국 Detroit-Coleman A. Young 공항에 착륙 중 활주로를 이탈하여 등화시설에 충돌하였으나, 인명피해 없음."
22,2022-02-21,Roper Aviation,Raytheon Hawker 800XP,TOF,6,0,"Roper Aviation 소속 Raytheon Hawker 800XP 항공기가 미국 Aspen-Pitkin County 공항에서 이륙 포기 후 활주로를 이탈하였으나, 인명피해 없음."
23,2022-02-21,Bald Mountain Air Services,DHC-3T Texas Turbine Otter,LDG,9,0,"Bald Mountain Air Services 소속 DHC-3T Texas Turbine Otter 항공기가 알래스카 Umiat 공항 착륙 시도 중 활주로에 미치지 못하고 지형에 충돌하였으나, 인명피해 없음."
24,2022-02-23,Air Serv Limited,Cessna 208B Grand Caravan,LDG,14,0,"Air Serv Limited 소속 Cessna 208B Grand Caravan 항공기가 남수단 Bor 공항에 착륙 후 활주로 이탈하여 덤불에 충돌하여 노즈 랜딩기어 및 날개를 손상시켰으나, 인명피해 없음."
25,2022-02-23,Taraz Zhana Alem,Antonov An-2,LDG,3,0,"Taraz Zhana Alem 소속 Antonov An-2 항공기가 카자흐스탄 Aralsk 지역에서 랜딩 후 전복되면서 화재에 휩싸여 전소하였으나, 인명피해 없음. "
26,2022-02-24,Ukraine Air Force,Antonov An-26,ENR,14,5,Ukraine Air Force 소속 Antonov An-26 항공기가 우크라이나 Zhukivtsi 지역에서 들판에 추락하여 화재에 휩싸여 탑승자 14명 중 5명이 사망함. 
27,2022-02-24,Russian AF,Antonov An-26,ENR,,,"Russian AF 소속 Antonov An-26 항공기가 러시아-우크라이나 국경에 근접한 Voronezh 지역에 추락하여, 탑승자 수는 정확히 알려지지 않았지만 탑승자 전원 사망함."
28,2022-02-24,Antonov Airlines,Antonov An-74T,STD,,,"Antonov Airlines 소속 Antonov An-74T 항공기가 우크라이나 Kyiv-Gostomel 공항에 주기 중, 러시아군의 공항 점령 과정에서 완전히 파괴됨."
29,2022-02-24,Antonov Airlines,Antonov An-26-100,STD,,,"Antonov Airlines 소속 Antonov An-26-100 항공기가 우크라이나 Kyiv-Gostomel 공항에 주기 중, 러시아군의 공항 점령 과정에서 완전히 파괴됨."
30,2022-02-24,Antonov Airlines,Antonov An-22A,STD,,,"Antonov Airlines 소속 Antonov An-22A 항공기가 우크라이나 Kyiv-Gostomel 공항에 주기 중, 러시아군의 공항 점령 과정에서 동체에 손상을 입음."
31,2022-02-24,GoJump Oceanside,Cessna 208B Grand Caravan,APR,2,0,"GoJump Oceanside 소속 Cessna 208B Grand Caravan 항공기가 미국 Oceanside Municipal 공항으로 접근 중 활주로에 미치지 못하여, 2명의 탑승자가 심각한 부상을 입음. "
32,2022-02-26,AB Aviation,Cessna 208B Grand Caravan,APR,14,14,AB Aviation 소속 Cessna 208B Grand Caravan 항공기가 코모로스 Moheli Bandar Es Eslam 공항으로 향하던 중 앞바다에 추락하여 탑승자 14명 전원 사망함. 
33,2022-02-27,Antonov Airlines,Antonov An-225,STD,0,0,Antonov Airlines 소속 Antonov An-225 항공기가 Kyiv-Gostomel 공항의 격납고에서 러시아군의 공격으로 인해 완전히 파괴됨. 
34,2022-02-27,Antonov Airlines,Antonov An-124-100,STD,0,0,Antonov Airlines 소속 Antonov An-124-100 항공기가 Kyiv-Gostomel 공항의 격납고에서 러시아군의 공격으로 인해 동체 우측 후방 및 수직안정판이 손상됨.
35,2022-02-28,Spirit Avia Sentosa,Cessna 208B Grand Caravan EX,LDG,8,0,"Spirit Avia Sentosa 소속 Cessna 208B Grand Caravan EX 항공기가 인도네시아 Bilogai/Sugapa 공항에 착륙 후 노즈 랜딩바퀴가 터지면서 방향성 상실하여 활주로를 이탈하였으나, 인명피해 없음. "
36,2022-02-28,Revolution Flight,Cessna 208B Grand Caravan,APR,2,0,"Revolution Flight 소속 Cessna 208B Grand Caravan 항공기가 연료부족으로 엔진 작동이 멈춰 미국 텍사스 Campbellton 지역에 불시착하였으나, 인명피해 없음."
37,2022-02-28,"Republic Airlines, opf. American Eagle",Embraer ERJ-175,LDG,75,0,"Republic Airlines 소속 Embraer ERJ-175 항공기가 미국 Washington-Ronald Reagan National 공항 착륙 중 기체에 손상을 입었으나, 인명피해 없음."
38,2022-03-01,China Air Force,Shaanxi Y-8,ENR,7,7,China Air Force 소속 Shaanxi Y-8 항공기가 중국 Sanya 지역 앞바다에 추락하여 탑승자 7명 전원 사망함.
39,2022-03-02,Flyzar,Embraer Phenom 100,LDG,4,0,"Flyzar 소속 Embraer Phenom 100 항공기가 브라질 Angra dos Reis 공항에 착륙 중 활주로를 이탈하였으나, 인명피해 없음."
40,2022-03-05,Indian Coast Guard,Dornier 228-101,LDG,4,0,"Indian Coast Guard 소속 Dornier 228-101 항공기가 좌측 엔진 고장 후 인도 Kanpur Air Force Station에 착륙 중 활주로를 이탈하여 공항 구조물에 부딪혀 정지하였으나, 인명피해 없음."
41,2022-03-06,HLAF AETA,Beech 200 Super King Air,LDG,5,0,"Beech 200 Super King Air 소속 HLAF AETA 항공기가 랜딩기어 이상으로 미국 Gulfport-Biloxi International 공항에 동체 착륙하여 손상을 입었으나, 인명피해 없음."
