평점,리뷰
0.5,데스노트 위에 '데스노트'를 써야할 때가 왔다.
1.0,"원작 소재는 분명 흥미로운 아이템이였지만.. 팬들은 데스노트 그 자체를 열광 했던게 아니다.
악에 맞선다는 명분으로, 자신만에  방법으로  정의를 구현하는 라이토의 방식이 과연 옳은지..아니면 그와 맞서는 L의 방식의 정의가 옳은지.. 현실에서는 이루어질수 없는.. 그런 둘을 향해 대중들은 각자의  캐릭터를 응원하며, 카타르시스마저 느끼게 됐던 작품이다.(물론 후반에는 작가가 객관적 판단으로 결말을 마무리했지만..) 데스노트라는 포장지로  빈상자를 포장한  이 영화는 원작 팬에 대한 모독이자 우롱이다.👎
무엇보다 너무 재미없다.."
2.0,데스노트는 2편에서 끝나야 했다...
1.5,총 겨누고 있는데 앞에 서서 노트 필기를 한다......방아쇠 당기는 것보다 공책에 이름 적는 게 더 빠르다...... 그것도 한자인데...... 이름도 4글자인데... 개같은 영화.....
0.5,데스노트를 끝내러 왔다.
2.5,만화/애니라는 원작 포멧을 벗어나니 가장 영화적인 작품이 나온 동시에 원작의 치밀하고 강렬한 스토리마저 없어졌다. 빌드업 없이 너무 막가는 전개 속에서 초반의 기대감이 없어지고 점점 탈선하는 이야기에 대한 안타까움만 남는다
1.0,기대 하나도 안했는데 실망함.
2.0,무어라 할 말이 없다. 라이토와 L의 의리만 확인했다.
2.0,남주 조정석 닮음 + 류크 미모 역변..
2.0,보면서 드는 생각은 '셋이서 뭐하니..?'
2.0,"데스노트 리메이크라고 생각해서 안보고 있었는데 키라가 죽은지 10년 후의 이야기였다.
키라와 L의 후계자 컨셉은 좀 너무 오버 아니었는지...
전작들에 비해 매력적인 캐릭터가 없었고 내용도 별다른게 없어 좀 실망했다"
1.5,누가 류자키 렌즈 좀 빼줬으면
3.5,스다 너무 잘생김. 역시 이런 또라이같은 역할 잘 어울려
2.0,생각보다 복잡하고 생각보다 시시하지만. 새로운 신호. 그 후의 일들. 기대하고 싶다..
0.5,데스노트로 런닝맨을 찍어보았다
3.0,"1편이 대단하지 않는 이상 속편들은 망할 수밖에 없다. 특히, 이 영화는 그냥 억지 그 자체다."
1.0,씬스티럴 듀크...
1.5,이 세상의 중심! 일본! 그 안에서 자신들이 제일 멋지고 똑똑하며 비장하다 생각하는 바보들이 충돌한다!
0.5,"그 이후에 단단하고 새로운 아이디어로 다시 나타나 1, 2, 3편을 구해보려 했지만, 오히려 이 영화가 먼저."
1.5,일본영화는 망한지 20년됨.
1.0,멍청한 두뇌싸움의 말로
1.0,'데스노트'가 가졌던 장점따윈 온데간데 없고.
0.5,"아 진짜 보면서 몇 번을 졸았는지. 히가시데 마사히로는 소리를 지르기만 하면 발연기가 튀어나오고, 이케마츠 소스케는 렌즈 때문에 눈알만 보이고, 전부터 기대했던 스다 마사키는 캐릭터가 허세에 쩔어있어서 꼴도 보기도 싫다. 영화가 재미없어도 이렇게 재미없을 수가 있나. 사신의 눈을 가진 여자가 데스노트로 무차별 살인하던 오프닝이 그나마 재밌는 장면이었다니. 이 영화가 잘 뽑은 건 포스터뿐이다. 스다 마사키의 포즈가 날 유혹하는 것처럼 보였던 게 애초부터 졸라 착각이었어..."
2.0,류크이번엔나에게와줘
4.5,보고 나오면서 제작사와 감독이름을 데스노트에 적어버렸다
1.0,스포일러가 있어요!! 보기
1.0,사골국을 너무 오래 우려끓이면 다 졸아서 아무것도 남지 않는다. 이 영화의 결과물에 딱 어울리는 말이다. 개연성이라곤 티끌만큼도 찾아볼수 없고 러닝타임은 쓸데없이 긴데 2시간 넘는 영화를 5시간 넘게 본 느낌이다.
1.5,"데스노트, 천재적인 창작물.
숟가락만 얹으려는 짓은 이제 그만."
2.5,후속작 또 만드려고??
3.0,데스노트가 늘어났다고 스케일과 스릴감도 늘어나는건 아니다.
3.0,남겨진 모든 것을 과감히 파괴하고 재창조한다.
2.0,주인공들 보다 '키라(라이토)'와 'L'이 더 기억에 남는건 왜 일까??
2.5,결국 이 영화도 데스노트에 적혀있었다.
1.5,"하품 몇번했는지 세다가 포기
미사 ㅜㅜㅜㅜ"
1.0,"너네가 그러고도 후계자야?
너가 그러고도 데스노트 속편이야?
데스노트에 '두뇌싸움' 적은 놈은 앞으로 나와."
4.0,..엘 후계자 왜저래
1.0,"라이토나 L의 부활을 쬐금 기대했는데.
기대했던 류크 비중도 없고 나머지 사신도 다 나올거라고 생각한 것이 너무 큰 바램이었나 봄.
'계획대로'라면 다음 편에서 뭔가 기대할만 한 것이 나오지 않으려나?"
2.5,우리는 이 시리즈를 10년 전에 놓아줬어야했다
1.5,아무것도 들리지도 보이지도 않는 영화
1.5,"속편을 계속 생산하는 이유, 대체 뭘까."
2.0,멍청한 애들한테 노트 쥐여주면 생기는 예시.
1.5,2점은 그간의 정입니다
3.0,뭐 이런... 실망이라는 표현도 아깝다.
1.5,새로운 시도는 좋았으나 극적인 장면에서도 별로 극적이게 보이지 않고 아쉬움만 남는다...
2.0,데스 노트에 데스 노트라고 쓴 듯
1.5,"아마는 충실한 친구야 
아마 ㅠㅠㅠㅠㅠㅠㅠ"
4.0,"어색하고, 어눌하고, 어이없다."
1.5,"괜찮은데~
새로운데~
나름 킬링용으로 괜찮은데~
평점이 안좋넹~
개취로 재미있게 봤음!
후후 계획대로다!"
0.5,치열했던 두뇌싸움은 개나 줘버렷!
1.5,이 정도면 데스노트에 대한 모욕이 아닐까...?
2.5,계획대로는 개뿔
2.0,데스노트 만화책을 수십번 본 입장에서 이 장면 어디서 나왔구나 웃어주는 재미는 있다. 별개의 캐릭터를 내세운 것 자체는 10년전 실사 라이토와 L보다는 낫다. 그래봐야 라이토와 L의 그림자를 벗어나는건 불가능하다.
0.5,스포일러가 있어요!! 보기
0.5,오기로 다봤다. 에휴.. 팬심으로도 보기힘드니까 혹시나 하고 재생눌러보지마세요들...
1.0,각본을 데스노트에 쓴 듯 하다.
1.0,"토다 에리카, 후지이 미나 이쁘다.
이상, 끝."
1.0,이걸 굳이 계속 끌고 가야만 했냐
1.0,엉망이구만
2.5,"이게 데스노트인가싶음..
그리고 스다 마사키 잘생겼네"
2.5,"전작을 제대로 못봤지만 세계관은 알고있어 이해에는 무리가 없었는데, 영화는 전반적으론 아쉬움. 연결에 있어 상당부분을 설명으로 무마하려는 느낌. 개인적으로 오랜만에 일본영화인데, 퀄리티가 너무 예상밖이라 적잖이 당황스러움."
1.5,"아마네 미사의 역변, 그리고 데스노트의 충격적인 역변.
 + 끝에 여운남기네.. 구질구질하다. 이제 그만하자!!"
5.0,데스노트 특유의 긴장감 넘치는 짜임새는 노트에써서 죽여버렸다. 데스노트 마니아들의 푼돈을 노린 어처구니 없는 구성.
3.0,데스노트 시리즈 다 보고 싶음
0.5,개인적으로 데스노트 설정과 사신들 캐릭터가 나에게는 항상 흥미롭다. 라스트씬의 공간에서의 시간에 따른 조명및 상황연출이 흥미롭다.
1.0,사골도 많이 우리면 아무 맛도 안난답니다.
3.0,"데스노트란 제목에 너무 많이 속았다. 
차라리 1편이 나았단 생각을 하게 될 줄이야..
정말 거지같은 영화는 아무리 있어보이게 찍어도 역시 거지같다.
그런데 더 무서운건 속편이 더 나올지도 모른다는 나쁜 예감..
이걸 보고 끄적이는 글자도 아깝다."
