평점,리뷰
3.5,돼
4.0,망상과 광기를 공유하거나 단절해가며 전편과 내내 밀고 당기듯 치열하게 추는 2인무.
보고싶어요,"조커 : 라라랜드 되 .

근데 평이 이러면 안 되 .."
5.0,스포일러가 있어요!! 보기
4.0,스포일러가 있어요!! 보기
5.0,영화가 끝난 후 별점 테러하는 사람들까지가 영화의 완성. 아서 플렉은 조커가 아닌 진짜 자신에게 관심가져주길 바랬다.
1.0,조커의 민낯이 곧 엔터테인먼트의 민낯이다. 라고 일갈하는 것에 도취된 영화 역시 진부한 엔터테인먼트의 일환으로 느껴진다.
2.5,스포일러가 있어요!! 보기
3.0,"이 영화의 가장 큰 비극은 관객인 나마저도
아서 플렉이 아닌 조커를 원한다는 것이다"
1.0,"나는 <조커>가 끔찍한 영화라고 생각한다. <폴리 아 되>는 <조커>를 뒤집었다. 그러나 대척점에 선다고 해서 그 영화가 훌륭해지는 건 아니다.

대중은 조커에겐 열광하지만 아서 플렉은 외면한다. 아서 플렉에서 조커로 거듭난 광기 어린 전작의 대성공과 두터운 팬층의 형성이 이 영화의 전제다. <폴리 아 되>는 조커가 아서 플렉으로 환원되는 과정을 다룬다. 정반대의 전략을 취한 이 영화는 전작을 좋지 않게 본 내겐 우호적으로 다가올 여지가 있었다.

<폴리 아 되>의 문제점은 뮤지컬이란 포맷을 택하면서 발생한다. 나는 뮤지컬 시퀀스가 지루하고 어색하다며 일차원적으로 비판하고 싶지는 않다. 이 영화의 뮤지컬 연출은 그보다 훨씬 더 큰 문제를 안고 있기 때문이다. 일명 '환상' 장면이 지닌 아주 괘씸한 문제는 관객에게 있어서 아득한 미지의 영역인 폴리 아 되, 즉 공유정신병적 장애라는 정신증 따위를 들먹이며 배합되지 않는 장면을 어설프게 합리화하려 든다는 것이다.

관객은 조커 분장을 하고 공적인 자리에 등장한 아서 플렉을 보며 폭력을 향한 기대감을 품게 된다. 조커 분장을 하며 변론을 한다는 전제 자체가 매우 작위적이지만 영화적 허용이라 치고 눈을 감아준다면, <조커>를 재밌게 본 관객은 기득권을 향한 분노 표출로 인한 카타르시스를 기대할 수밖에 없을 것이다. 하지만 영화는 그 기대를 완전히 저버린다. 조커는 아서 플렉으로 힘 없이 환원되고, 아서/조커로 분리되었던 그의 자아는 애초에 하나였던 것이라 고백한다. 그 동기를 단지 난쟁이 친구 한 명의 호소로 짚고 넘어가는 게 불만스럽지만 말이다. (재판 과정에서 흑인 여자, 교도관 등 간접적인 동기라 볼 수 있는 여지가 등장하긴 하지만, 그것들의 영향은 무의미한 수준에 그친다.) 하지만 이 많은 결점을 눈 감아준다면, 이 대목은 나름 괜찮게 다가온다. 그러나, 이 약간의 괜찮은 부분마저 말살시키는 영화의 가장 참혹한 장면이 등장한다.

카타르시스를 배반하는 방식으로 구축되는 이 작품은, 전편이 지닌 문제를 비껴 나가며 영화 내/외적인 성찰을 하려는 듯 보이다가 전개를 위한 무의미한 폭발 이후부터 허무맹랑하게 자멸해버린다. 이런 어처구니없는 장면의 존재 이유가 무엇일까? '조커의 환상...'으로 운을 뗀다면, 난 정말이지 할 말이 없어질 것 같다.

아서 플렉으로서도 실패하고, 조커로서도 실패하는 개인을 보여주며 <조커>에 열광했던 이들을 향해 반성과 더불어 허무감을 유발하려는 의도는 알겠으나, 그 수가 뻔히 보이고 거기까지 나아가는 방식도 매우 평면적이며 무식하다. 캐릭터 놀음으로 자의식 과잉의 어느 정점을 찍은 토드 필립스는 호아킨 피닉스라는 위대한 배우에게 우는 듯 웃는 연기 차력쇼밖에 시키지 못한다.

'조커' 캐릭터를 사랑하는 사람들에겐 이 영화가 불쾌할 것이란 말을 언뜻 들었는데, 나는 조커를 사랑한 적이 없다. 그에 동조하는 태도의 영화, <조커>를 혐오했던 내게마저도 <폴리 아 되>는 끔찍하다.

+ 이 영화에 좋지 못한 평가를 남기면 아서 플렉에 관심을 가지지 않는 우매한 사람이란 프레임을 씌우는 건 정말 좋지 못한 태도로 보인다."
