평점,리뷰
4.0,"유학가서 이 영화 보면서 일본어 공부했는데 
남성적인 표현들과 억양 때문에 
친구 하나도 못사귐."
4.5,누구 밥먹는걸 지켜보는 게 이렇게 좋을 줄이야
5.0,"bj우마이, 그 전설의 시작"
5.0,"오로지 식도락만을 위해 혼자서 도쿄여행을 갔을때 나의 모습과 일치.
(그나저나 하정우가 리메이크 해줬으면 좋겠다)"
4.0,이명박처럼 생긴 사람은 다 맛있게 잘 먹나보다
3.5,"켜놓고 나도 밥먹고 아저씨도 밥먹고 
외롭지 않아"
4.0,"제목은 고독한 미식가인데 주인공이 워낙 혼자서 이곳저곳 잘 다녀서 고독한지도 잘 모르겠고, 식당 한번가서 시키는 양을 보면 미식가라기보단 대식가가 아니신지..."
3.5,우마이!
4.5,맛있는거 먹을 때 마다 우마! 하는 나를 발견
3.5,배고파>방황>우연>우마-이>어딘가 이상한 소감
4.5,"도쿄여행 가기 전에 챙겨봤었다. 줌아웃되면서 ""배고파졌다"" 하는 장면이 웃김. 고로씨 얼굴만 봐도 왠지 웃기고 브금도 재밌다. 먹는 씬이야 뭐 워낙 유명하니.."
3.5,주인공이 술집에가면 안주를 시켜놓고 술은 못마셔서 내가 괴로움
3.5,혓바닥에게 바치는 포르노. (엄청 질척하게 쓰려다 참았다.)
3.0,"짧은게 장점.
다니면서 나만의 한국판 고독한 미식가를 만들어보고 싶다.
배고픈 하루."
3.5,"이상하게 특정 요리가 끌리는 어느 하루처럼
이 드라마도 끌리긴 마찬가지"
5.0,현대인들에게 고독히 미식하는 것은 참 고귀한 일. 나는 가끔 사료를 먹듯 바쁘게 일상을 보내다 떼우는 일이 드물었다. 마음을 챙기는 건 '리틀 포레스트나' 이 티비 드라마 처럼 입에 들어가는 음식에 대하는 마음자세도 중요하다. 사람의 몸과 마음은 먹는대로 만들어지기도 하는 법이다.
4.0,"'철판구이는 뭐랄까. 콘서트 같은 맛이 있어. 머릿속으로 일일이 환호성을 지른달까.'
<요리왕 비룡> 이후 오랜만에 내 마음에 와닿은 먹방과 감탄사. 고로한테 질 수 없지. 혼밥 열심히 해야겠다. 그리고 다음부턴 식당 찾을 때 좀 진정해야겠어. 난 배가 고픈 것 뿐이야. 운명적인 식당을 위한 인내를 가져야 해."
4.0,"집에서 밥먹으면서 보기 좋았다.
고로아저씨의 밥먹는 표정은 정말 주름하나하나가 식사를 하는 느낌이었다.
우리나라의 천편일률적인 맛집탐방프로그램도 이렇게 드라마스러운 느낌으로 만들면 좋지 않을까.. 하는 생각이 들었다. 
♬ 고로~ 고로~ 이노. 가시라~ 호!"
4.5,평범하다라고 할 수 있는 드라마. 그러나 심지어 배가 부를때봐도 배가 고파지게 만드는 마성의 먹방.
2.0,"내 전용 수면유도드라마
잠 안 올때 마다 보면서 잠들었는데 어느새 시즌1 다 봐버렸다
앞으로도 내 스윗드림 부탁해"
4.0,"게걸스런 먹방 말고 이런 걸 원했다
고로는 저렇게 먹는데 왜 마른거야
세상은 불공평해  ㅠ ㅠ"
4.0,"어쩜 그리 고독하고 담담한 표정으로 그렇게도 맛있게 드시는지, 심야식당에서 소시지 먹을 때 부터 알아봤습니다."
4.5,"일부러 밥먹고 보는데 
배부른 상태에서 봐도 배고파지는데 나머지 시즌 어떻게 다 보냐ㅠㅠ"
4.0,어쩐지 나도 모르게 집에서 밥먹을때 밥그릇들고 젓가락으로 우다우다우다먹는거 따라하게 됨..우마이..
4.0,"고로가 왜 독신의 포지션을 지킬 수 밖에 없는지 납득이 가는 드라마. 미식가의 아내는 매끼니때마다 번뇌를 거듭하며 폭삭 늙어간다. 고로 뺨치는 예민한 미각에 대식가인 우리 아버지를 보더라도.
바삭거리며 입안에서 부숴지는 돈까스의 식감, 육즙이 배어나오는 고기를 정신없이 흡입한 후 고로가 짓는 흐뭇한 표정에 절로 미소짓게 된다."
3.5,"일본에 가봐야 겠습니다.
.
""우마이!!"""
3.0,"짧아서 금방 보기편하다 
식사 장면만 보는데 음식들은 맛있어보이면서도 소박하다
먹으면서 혼잣말로 평가하는 먹방좋아"
4.0,"그러고보니 참...고미때문에 일본에가고싶은 생각이듬
너무맛있어 보임 고로가 먹으니까 ㅠ 침샘자극드라마"
4.0,하라가헷타 😦😧😯
4.0,고로상이 먹는 모습보는 것이 내가 먹는 것보다 더 배부르다
5.0,"다른 사람이 먹는 모습을 보는 게 이렇게 힐링이 될 줄은 몰랐다. ""난 너 먹는 것만 봐도 행복해""가 이런 마음인 걸까..
적절한 러닝타임, 비슷한 패턴이지만 지루하지 않은 전개, 정말 맛있어 보이는 음식들. 
기승전결이나 갈등구조 따위 없는 최고의 힐링 드라마.
매 편 마지막에 나오는 '훌쩍 쿠스미' 코너도 볼 만하다.
나도 모르는 사이 밥 먹을 때  ""우마이""를 외치게 된다..
.
.
.
...腹が減ってきた。(고독한 미식가 中)"
4.0,"아 일본여행 또가고싶다아! 개인적으로 일본 음식을 좋아해서, 스토리랑 상관없이 별 네개"
4.0,식욕없는 다 큰 아들에게 엄마가 줄만한 선물
