평점,리뷰
5.0,스포일러가 있어요!! 보기
5.0,"당신의 용기는 시험당하고, 신념은 모욕당하고, 순결은 학대되며, 가족은 찢겨지고, 우정은 등을 돌릴 것이다. 그럼에도- 그렇기에, 살아남는 게임의 승자가 될 것인가."
3.5,스포일러가 있어요!! 보기
4.0,조프리 개새끼
5.0,극 중 인물에 감정을 싣지 않는 방법을 배우다
5.0,스포일러가 있어요!! 보기
5.0,"열어분, 경기가 끝나고 24시간 이내 10만명 이상이 서명하면 FIFA에서 시즌8 재촬영 가능하다고 함미다 부탁이건대 멀리 퍼뜨려주세요"
4.5,"대너리스보다 브렌이 더 이뻐보인다면
나는 정상인가 비정상인가
시나리오가 예술이어서
눈을 뗄 수가 없다."
4.5,Winter is comming.
4.0,"강한자가 살아남는게 아니라, 살아남는자가 강한것이다."
4.5,"넘나 잔인하고 야하지만, 다들 왜 왕좌의 게임 왕좌의 게임 하는지 알겠당.. 요즘 하루에 한 시즌씩 보는 중"
5.0,Not today.
4.5,"피한방울 안나올꺼 같은 냉혈한들의 정치판, 예측 할수없는 전개와 나비효과를 효과적으로 보여주는 서사력은 왕좌의 게임의 매력, 조지 R.R 마틴의 원작을 완벽하게 보여주다."
4.0,"윈터펠 아이들의 리즈시절.
대너리스가 빨리 초심을 되찾길..."
4.0,"과연 누가 광기 사이코 조프리를 누가 죽일것인가?
난 아리아가 했음 좋겠다
아리아 스타크 응원한다"
4.5,"아직 봐야할게 50화나 남았다는게 이렇게 행복할수가!
덧! 5일간 영화도 쉬면서 하루 2편씩 이 드라마를 드디어 봤습니다. 처음 친구의 강요와 협박등에도 넘어가지 않던 제가 치느님영접으로 보게되었네요.(교촌 레드콤보는 사랑입니다.)
보기 전 이 드라마에 대한 여러 말들의 공통점이 누구하나 정을 두지말라는 것이라 노력은 해봤지만 보면 볼수록 ""안돼! 얘는 제발 죽이지마!""라며 절규하는 제 자신을 보게되더라구요...그때의 허망함이란...
초반 여러인물과 왕국들이 나오는데 이름하나 외우기 힘들어하는 저에겐 너무도 큰 장벽이라 지루하기도하고 포기할까했지만 어느새 시즌1을 다 보았네요. (시즌1을 다봤는데도 이름들을 못외운건 함정..;;;)
성인들의 열광적인 지지를 받을만 한 적나라하게 보여주는 잔인함과 선정성, 그리고 허구의 세계관이지만 너무도 탄탄하고 세밀한 스토리라인에 빠지지않을 수가 없네요. 
시즌2도 너무나 보고싶지만 당분간은 다시 영화가 보고싶어져 여유로운 주말에 봐야겠습니다ㅎㅎ
마지막으로 아...용엄니에게 꽃길만있기를!ㅜㅜ"
3.0,이야기의 재미와 별개로 심야 포르노 삼류 영화 수준의 노골적인 선정적 연출이 역겹다
4.0,스포일러가 있어요!! 보기
4.5,"최애캐는 티리온 라니스터
키작고 못생겼지만 미워할 수 없는 매력이 그에게 있다.
그는 명예는 없지만 비열하지 않다. 정직하게 그의 가문과 사랑하는 사람들을 위해 최선을 다할 줄 안다. 명예를 위해 고집스런 정의를 추구하지도 않고 단지 자신과 가문의 이익을 위해 악을 행하지도 않는다.
앞으로의 행보가 기대된다."
5.0,"이작품을 처음본자,미드의 늪에서 헤어나오지 못할꺼이다"
4.0,거듭된 충격 요소들과 다소 진부한 전개로 피곤함이 느껴지지만 TV 시리즈중 가장 흥미진진하고 환상적인 환타지물임에 틀림없다. 조지 마틴 선생 부디 스타크 가문에 자비를 보여주시길.
4.5,"죽음의 신이 오면 뭐라고 하라고 했죠?
오늘은 아니야.
근데 매일같이 찾아오네. 이 새키가..."
5.0,"9.2019. 03.  12~ 15.
시즌 8  영접을 위해  시즌 8  오픈일에 맞춰 시즌 1부터 복습에 들어갔다.
다시보니 전에 볼때 흘려 지나간것도 있었고.
다시봐도 대단한 작품이다.
늘 그렇듯 오프닝 음악이 흘러나오면 가슴이 뛴다.
.
왓챠플레이로 다시 봄"
4.0,느끼한 숀빈이 몸에 착 달라붙는 옷을 입은 것처럼 최적화된 연기를 보여준다. 대너리스 짱 예쁨.
5.0,"두고두고 회자될 미드계의 Masterpiece!!
.
각본이 힘이 엄청나다. 넓은 세계관에 수 많은 인물을 등장시키면서 이렇게 짜임새있고 예측이 불가하게 이야기를 풀어가는 탄탄한 각본에 감탄하지 않을 수 없다.
.
연출도 뛰어나다. 자칫 길을 잃어버리기 쉬운 장엄한 서사의 시작을 적절한 배분과 완급조절로 관객을 7왕국 곳곳으로 유도한다. 거대한 스캐일과 화려한 볼거리 장엄한 사운드가 드라마의 몰입감을 높여준다. 캐스팅과 배우들의 연기 또한 훌륭하다.
.
19금 드라마 답게 잔인하고 선정적인 영상의 빈도가 높지만 과하지 않다. 오히려 이야기 전개의 수위가 높은 편.
.
.
용과 괴수, 마법이 존재하는 세계 속 왕좌를 차지하기 위한 인간들의 전쟁 - 왕좌의 게임. 그 속에 수 많은 이야기들이 얽히고설켰지만, 굳건한 줄기는 힘을 잃지 않고 뻗어나가기 시작했다!"
5.0,주인공들이 하나하나 대작 영화에 출연하는 기염을. 개인적으론 존 스노우가 참 매력적.
4.5,여자들이  더  왕좌를  밝히네?  ^ ^
4.5,한번보기시작하면 새벽4시까지는 기본으로 밤새면서본다ㅋㅋㅋㅋㅋㅋㅜㅜ
4.5,종방 전까지는 시청하지 마세요^^
4.5,"처음엔 왜 이렇게 복잡해? 했지만..
결론은 재미있었고 흥미로웠다!!
그리고 충격적 전개가 기대감을 드높였다 ㅋ"
5.0,"미드와 한드의 차이를 극명하게 보여주는 점.
주인공이라 생각하는 이를 스토리를 위해 과감히 죽일 수 있다."
3.5,숀빈은 보르미르나 이퀼리브리엄 형사처럼 헛똑똑이 역할을 너무 잘 연기하는 듯... 이게 젤 재미가 덜한 시즌이라니. 다음 시즌도 기대감 만땅🐉
3.5,스크린과 소파 사이를 지키는 야경대가 될 것을 서약합니다.
4.0,재밌다. 또다른 삼국지를 보는 느낌이랄까. 이래서 노추들은 안되지. 자신의 잣대로만 세상을 잰다니까. 유비의 덕성을 의심하지말라고. 그래서? 이영화는 가문의 명예를 위하여. 싸우고 또 싸우고. 가문들. 문장들. 상징들. 배신과 음모가 동서양에 판을 치고. 인자무적을 외치는 삼국지. 가문의 명예를 외치는 <왕좌의 게임>. 그래도 내가 제일 좋아하는 캐릭터는 난쟁이 티리온 라니스터. 그 냉소.
4.5,"처음 이걸 본날을 잊을수없다. 
아니 뭐 이런 괴물같은 드라마가 있지??
경악인지 경탄인지 모를 소리를 내뱉으며 2박3일을 그자리 그대로 꼬박 시즌 4까지 정주행했었지... 작가와 제작진 그대들은 역사를 만드는 중이라오!"
4.5,조프리.....하 새끼
3.5,TV시리즈가 영화를 넘어서는 하나의 이정표!
4.0,"매화 누군가 죽어나감 사람이 아니면 동물이라도 죽임 휴
오프닝노래 좋아 둔두두둔 둔두두둔"
4.5,1시간이 이렇게 빨리 지나가다니 ... 예상치못한 인물의 죽음으로 시즌이 막을 내리다니... 슬푸다 ㅠㅠㅠㅠ
5.0,이때만 해도 참 좋았지^^
4.0,"- 대너리스 비긴즈
 
@왓챠플레이"
4.0,"배우들도 좋고 스토리도 흥미진진하고 늘 예상치 못한 스토리로 나를 놀라게하고 다음편을 기대하게해주는 매력만점의 판타지 드라마
소설이 원작인데 참 잘살린거같다"
5.0,성큼성큼 걸어가는 서사.
4.5,"초반 시작은 불친절하지만 그래도 모범기사였다고
이해가 딸리면 나무위키를 켜보세요.
조프리 조만간 성벽에 걸려있기를 바람."
5.0,"아 진작 볼걸... 반지의 제왕 호빗 사랑하는데
이건 왜 안 봤어 모든 장면이 다 좋다
시즌 8까지 있다니 안 봤는데 넘나 행복~~

처음부터 알몸이 너무 많이 나와
유교걸로서 몸둘 바를 몰랐지만ㅋㅋㅋ
어느새 오프닝 음악을 멜론에서 찾아 듣고 있고
오늘 첫눈 살짝 맞으며 퇴근하니 내 옆에 늑대가 있어야 할 것 같고 북부로 가야할 것 같고 막 그런 기분... 🤑🤑

드디어 대장정 시작"
4.0,7화쯤까지는 몰랐다... 왜 이렇게 주변에서 왕좌의게임 안본 나의 뇌를 부러워했는지..... 후반부부터 가슴 뛰게하더니 마지막엔 절정...! 앞으로 안본 시리즈들이 너무 기대된다....
5.0,"명예롭지 못하다하여 명예롭지 못하게 죽는 것은 아니오.
명예롭다하여 명예로운 죽음을 맞이하는 것도 아니라네.
이 전쟁이 끝날 때 승리의 깃발 옆에 내가 서 있었는가.
이것은 산 자가 아닌 죽은 자들의 이야기."
4.5,"철왕좌를 차지하기 위해선 극단적일 수 밖에 없다. 남의 피를 뒤집어 쓰고 살거나, 피를 쏟아내며 죽거나."
4.0,"피터 딘클리지 멋있다.
역시 숀빈은 예상대로. . ."
5.0,인간에 관한 있는 그대로ㅡ
5.0,엄마가 하지말라는건 하지말라고
4.0,뀨룽 신선한 충격과 몰입감 좋은 시즌이었따
4.0,내 머리속 새로운 세계관이 열렸다
4.0,"첫 화 부터 충격의 도가니. 그 충격은 앞으로도 쭈욱
Best: E6 주관적으로 봤을 때 가장 인상적인 죽음."
4.0,"[11.04.17.-11.06.19.방영/ HBO / 10부작]
+ 조지 R.R. 마틴 소설원작 : 얼음과 불의 노래"
5.0,뭐임 시간을 갉아먹는 이 매력적인 드라마는.
4.5,그 모든 욕망과 배신 속에서도 결코 위엄을 잃지 않는 장대한 서사시. 자극적이지만 결코 질리지 않는다.
4.0,모든 인물들이 각자 나름의 욕망을 가지고 살아갈 때 빚어내는 불협화음과 갈등
3.5,"역시 명성에 걸맞게 흡입력있다
등장인물이 많고 사건이 빠르게 진행돼 잠깐 놓치면 다시 되돌려볼수밖에 없음. 켜두고 집안일 못함 ㅋㅋ
시즌이 몇갠데 오로지 이것만 보려니 그것도 엄두가 안난다."
5.0,"죽음과 배신, 권력의 난장판 사이에서, 결국 왕좌에 앉을 자가 누가 될 것인가?"
1.0,"인물 퇴장의 과감함이 극을 얼마나 생생하게
만들어 주는 가에 대한 완벽한 교과서"
5.0,확실히 잘 만들었는데... 너무 자극적인 여혐세계관이라 못보겟음ㅠㅠ 강간씬 너무 많이나오고.. 하아..ㅠ 8화까지인가 보고 포기함
4.5,"첫 편을 보고 홀릭되어 달린다. 
시즌1.. 정말 잘 만들었다. 
오~ 스타크 가여..
ps. 
대형 스크린에서 상영했으면 더 좋으련만. 나만의 욕심이던가!!
÷
20180704~10 왓챠플레이"
4.5,괜히 시작했다 진짜 괜히 봤다 시험 조졌다
5.0,뒤늦게라도 시작한 나에게 박수를
5.0,모두 조심하십셔 주인공일 줄 알았는데..! 그랬는데..!
4.0,멋지고 선한 주인공이 무조건 고난을 이겨내고 승리하는 일은 오히려 비현실적이다.
5.0,"스타크 가문과 대너리스 이야기가 좋아
하지만 보고 있으면 영혼이 더럽혀지는 느낌이야
-
2020년 7월. 왓챠. 211. 곰곰⭐️"
