평점,리뷰
3.5,"신작을 먼저 보고 히치콕의 작품을 보았다.
음...난...현대적인 레베카가 더 좋다.
다만 드윈터 부인에대한 댄버스 부인의 가스라이팅 만큼은 원작이 압도한 듯 하다.
고전물을 현 시점에 보게되면 현대의 시각적 자극에  적응 돼버린 우리는 어쩔 수 없이 미장센 보다는 서사와 대사에 몰입 하게되는 한계를 보인다. 마치 시대물은 연극처럼 보게되는 경우가 많다.
현대에 리메이크된 대부분의 영화와 이 새로운 레베카 에서는 역시나 미장센과 특수효과가 더 현실감 있기에 시각적 몰입도가 고전과는 다른면이 있다. 그 이유로 댄버스 부인의 가스라이팅이 호러의 분위기로 실짝 뭍혀버린 느낌이있다. 이 신작의 대부분에 만족한 반면 고전을 보고나서 느껴지는 차이점은...신작은 몇편의 옴니버스 영화를 본듯하고...히치콕의 원작은 잘 짜여진 한편의 연극을 본듯했다. 괜찮은 리메이크!!
.
.
#릴리제임스연기잘한다
#인트로와엔딩을뒤바꾼
#감독의센스가느껴졌음
#어렵지만잘해낸느낌임"
2.5,"흩어진 서스펜스.
그 이름은 여전히 무겁다.
Watered-down suspense."
4.0,"뭐야 영화 속에 반전에 반전이...
아침 드라마야 뭐야!! ㅋㅋㅋ
잔인한 그림자를 지우고 악당에게서 왕자님을 구하라!!!!
#21.5.9 (532)"
3.0,"(63)결핍과 질투의 사랑 스릴러.
👍:히치콕의 레베카를 보지 않은 사람이라면,
👎:히치콕의 레베카를 생각한다면,
스토리 13/20 연기 12/20 연출 12/20 재미 26/40"
3.5,"소설원작인게 티 날 정도로 전체적인 스토리는 부드럽게 그려졌는데, 딱히 서스펜스 장르에 비해 임팩트가 부족한 후반부가 조금 아쉬웠다. 시대에 잘 맞게 미술감독이 실력을 뽐냈다.

드 윈터 부인이 민폐캐라는건 미리 좀 알고 볼걸... (지끈)"
3.5,막심은 잘생기고 돈 많고 섹시하기까지 한데 레베카는 왜....
3.0,"이야기 전후의 공기가 판이하게 다르고, 매끄럽게 이어지지 않는다. 다만 좋은 풍광, 아름다운 배우들은 빛난다. 원작을 봐야겠다.
2020-12-09 (052) 넷플릭스"
2.0,"히치콕의 <레베카>와 달리, <레베카>(2020)는 잔뜩 드리운 억압의 공기를 뚫고 나가는 전복성을 좀 더 강조하고 싶어 보인다. 이를 위해 영화는 이전에 비해 무딘 서스펜스와 카메라의 존재감을 대신해, 초반부 호퍼 부인의 험담을 듣는 리액션 숏이나 무도회 씬의 혼란처럼 드 윈터 부인의 내적인 심리에 더 초점을 맞추려 한다. 다만 심리의 변화나 그를 통한 극복의 쾌감이 있다기엔 노선에 조금 애매한 면이 있는데, 마치 폴란스키 영화처럼 심리 묘사가 더 치닫는 것도 아니고 억압의 더께는 히치콕 <레베카>를 의식해야 그나마 와닿는 터라 댄버스를 무시하는 듯한 결말의 분전도 무미하다. 결국 안으로 파고 들지도, 밖으로 뚫고 나가지도 못한 채 조잡하게 머무는 것만 같다.

특히 남자 캐릭터들을 더 파렴치하게 만드는 한편, 드 윈터 부인을 주체적으로 돋우고 댄버스와 레베카 간의 묘한 연대감을 부각하는 등 현대적인 입맛의 각색을 포인트로 삼는 것 같지만, 레베카의 어떤 유령적인 존재감마저 희생시키고 설명적이고 감정적인 부연을 더 늘어 놓아야 할 정도로 큰 매력인지는 잘 모르겠다. 사실 너무 다른 셀링 포인트라 두 영화를 비교하는 게 괜히 부당하다는 생각이 들지만서도, 비교가 되는 건 어쩔 수가 없어 모른 척하기도 어려운 게 사실이다."
3.0,레베카는 보이지않는 레베카.
2.5,"1940년 작의 리듬감, 치밀함은 사라지고 어수선한 분위기와 엉성함만이 남았다."
3.0,히치콕의 서스펜스 클래식을 현대적으로 재구성하고 변주한 탁월한 성취.
2.0,스릴도 서스펜스도 없고 개연성 마저도 없어 보이게 만들다니.
2.5,"현대식 재구성의 시도는 좋다만, 옅어진 특유의 서스펜스와 댄버스 부인의 장악력."
2.5,후반부에 서스펜스가 너무 약해서 몰입하게 만들질 못한다. 릴리 제임스는 가벼운 로맨틱 코미디물에 더 잘어울릴듯...
3.0,의상 세트 인물 보는 재미에 별 세개 다 바침다.
1.5,"댄버스 부인의 가스라이팅은 더 악랄하게 느껴지는 반면 드 윈터 부인은 다소 답답해 보이는 넌씨눈 같다.
큰 기대했는데 별 감흥이 없다."
3.5,"뒷심 부족한 서스펜스지만, 서느런 분위기만큼은 탁월하다."
3.5,"각색의 의도는 완벽했으나 이음새가 처절하게 모자라다. 구멍이 많은 작품은 아니지만 그 몇 개의 구멍들이 전체 그림을 망쳐버린 셈.

아름답고 차가운 종이 조각들도 순서에 맞게 배열하고 포커싱이 잘 이어져야 하나의 완벽한 그림이 완성된다. 고전의 재해석의 완벽한 예시가 될 수 있었던 아주 아쉬운 작품.

스포일러
—————————

댄버스 부인에게 명분을 하나 줘야 되지 않을까?
유일한 혈육이었다든지."
2.5,따분하고 밋밋함.
2.0,비밀의 베일이 벗겨지는것 같은 반전 201024
4.0,"레베카 취향 고급
댄버스 부인은 하나도 안무섭고 소리지르는 맥심이 더 무서움"
3.5,"히치콕의 영화를 리매이크해서 원작을 뛰어넘는 경우는 죽을때까지 못볼듯하다.
그래도 레베카는 보통은 한거같다. 영상미하나는 정말이쁜!"
보고싶어요,흐린눈피료해
3.5,"히치콕 감독의 <레베카>(1940) 리메이크가 2020년 넷플릭스 오리지널로 10월 21일에 공개 예정(미국 기준). 벤 휘틀리 감독 연출작이라 기대 중.
.
알프레드 히치콕 감독의 <레베카 Rebecca> (1940)는 로렌스 올리비에와 조앤 폰테인이 주연한 흑백 고전 영화이다. 폐가가 된 대저택 맨더레이의 모습의 오프닝 씬이 기괴했다. 히치콕 감독 답게 반전에 반전을 거듭하는 스토리도 긴박감이 있었고 특히 가정부로 나온 주디스 앤더슨의 연기는 오싹함을 주었다. 그녀의 광기는 결국 맨더레이를 파괴시킨다. <사브리나>, <프리티 우먼>, <러브 인 맨하탄> 같은 신데렐라 스토리를 가지고 있지만 결말은 잔혹 동화이다.
*2010.9.26 재감상
.
(아래 글 출처: http://eggtail.net/netflix20200109/
2020년 공개 예정 넷플릭스 오리지널 영화 10편)
.
히치콕의 영화와 뮤지컬로 유명한, 영국 작가 대프니 듀모리에 소설 [레베카]가 넷플릭스와 워킹타이틀의 공동 제작으로 영화로 재탄생한다. <하이 라이즈>의 벤 휘틀리 감독이 연출을 맡고, 릴리 제임스와 아미 해머가 불길한 미스터리에 휩싸이는 젊은 신혼부부를 출연해 촬영을 마쳤다. <레베카>는 부인과 사별한 귀족 남성과 결혼한 주인공이 전 부인의 죽음과 관련된 진실을 마주하는 이야기를 그린다. 주인공 ‘나’를 연기한 릴리 제임스는 마카오에서 열린 BAFTA 마스터클래스에서 촬영 당시 정신적으로 상당히 힘든 작업이었음을 밝혔다."
2.0,"질투는 자신의 소유물이라고 간주할 때 발생한다. 선의와 악의의 질투심이 있듯이, 어떤 질투심은 심하거나 집착적이다. 질투심을 증폭시키는 요인은 버림받고 배신당하는 것에 대한 두려움을 심어 다른 사람을 불신하고 실재하지 않는 위험에 대해 걱정하게 만들고, 비정상적인 생각을 마치 정상처럼 보이게 만들어 사고를 방해한다. 이런 마음은 극도로 강박적이고 집착적으로 변해 분노에 휩싸이게 되며, 이러한 감정은 공격적인 행동과 위험으로 이어질 수 있다. 소유욕과 통제는 절대 타인을 사랑하는 방식이 될 수 없다. 고통스러운건 본인의 몫이기 때문이다."
2.5,근데 레베카는 원래 미친년인 거야? 왜 그런 건지 나만 궁금해??
2.0,"지루해..
명작을 등에 업었으면 더 신경썼어야 하는 거 아니냐고."
2.5,"겉치레만 신경쓰고 알맹이는 밋밋하기 그지없다.
히치콕의 레베카가 더 보고싶어졌다."
2.5,"""히치콕""의 <레베카>를 관람한게 너무 오래 전이라서 기억이 희미하긴 하지만, 이 작품보다 ""레베카""와 ""댄버스 부인""의 존재감이 상당했던 것으로 기억한다.. 원작의 벽이 높긴 하지만, 사랑을 지키기 위한 ""드윈터 부인""의 활약(?)도 볼 만했다~"
4.0,"원작 소설과 히치콕의 오리지날이 있었구나.. 괜찮은 서스펜스, 풍광. 눈호강. 초반 감정선이 좋음."
3.5,"남자는 여자를 잘 만나야 한다.
여자는 여자를 잘 만나야 한다."
4.0,"1. 히치콕 원작도, 뮤지컬도 본적 없는 나에게 굉장히 매력적인 스토리라인이였다.
2.댄버스부인의 장악력이 부족하다고들 하는데 원작을 모르는 나는 큰 단점으로 다가오진 않는다.
레베카라는 보이지 않는 실체가 맨덜리를 휩싸고  새로운 드윈터부인의 두려움을 감싸는 장면만으로도 충분히 매력적.
3. 고전엔 이유가 있다. 그리고 섹시한 현대판도 좋고.
4.릴리제임스 아미해머 굿"
