평점,리뷰
3.5,<장손>과 함께 2024 최고의 대가족 영화가 아닐지!
3.5,이루지 못한 이상향으로 연대를 향한 진화를 꿈꾸어보다.
4.0,"날아오른다는 것과 포기를 하지 않는 것은 어쩌면 같은 뜻일지도 모르겠다는 생각이 들었다.

남들과 다르고, 헤엄을 못 치고, 쉽게 날지 못 한다고 해서 그것이 좌절의 영역이 되는 것은 아니다. 멋진 부리가 이름으로 새겨진 것처럼, 실제로 그 아이는 날개가 가벼워 똑바로 날 땐 불리해도 회전과 활강을 할 땐 유리했다. 남들과 비교하는 게 디폴트값처럼 적용이 된 이 세상에서, 남들 흉내내는 것 필요없이 자신의 강점을 살려 살아가라고 말하는 듯한, 가을의 선선함을 알리고, 추운 겨울을 함께 뭉쳐 극복해내고 마침내 따뜻한 봄을 맞이하는 것만 같았던 영화. 눈물은 계속 머금고 있었지만 내가 이 눈물을 떨어뜨리면 다음 장면에 몰입하는 데 방해될까 봐 안간힘을 다해 참았다.

""어떻게 자신이 모르는 걸 남에게 이야기해줄 수 있죠?""

""뭔가에 결핍을 느끼게 되면 계속 그것만 생각하게 돼.""

로줌 7134는 기본 설정된 프로그래밍을 뛰어넘게 되는 로봇이다. 자신도 모르는 기능으로 전원이 꺼져 있는 채로 목소리를 들을 수 있게 되고, 에너지가 방전되도 계속 움직일 수 있고, 프로그래밍이 리셋된다 한들 영원히 소중한 기억을 간직하고 살 수 있게 되었다. 그 기능은, 바로 사랑으로부터 비롯되는 '마음'이었다. 지나가는 이에게 물 한 잔도 주기 힘들어진 이 혐오의 세상을 살고 있으면서 우리는 꼭 누군가에게 칼을 겨눠야만 하는 것일까. 난 한 번도 그렇게 생각한 적 없다. 우리도 저렇게 살 수 있다. 우리는 생존본능을 발휘하여 이기적으로 살다가도, 다 같이 살 수 있다는 믿음으로 꼭 창 대신 손을 내밀어주면서 살 수 있다. 저렇게 말이다. 본성을 뛰어넘어 모두를 행복하게 만들어준 와일드 로봇처럼 말이다.

""전 아직 이런 꼴인걸요.""

""그래도 새 것처럼 빛나.""

불가능해 보이는 것. 하지만 지금도 어디선가 누군가는 실현시키기 위해 피땀눈물 흘려가며 하고 있는 것. 누군가 하고 있기에, 나도 할 수 있다는 자신감, 믿음. 그리고 그렇게 하기까지 우리가 도울 수 있는 것. 나는 뭔가를 열심히 하고 있는 사람을 보면 괜히 동기부여가 된다. 그것이 고작 나무를 깎고 있는 행동이라 한들 말이다. 중요한 건 그것을 하고자 한다는 마음이다. 그 마음 없이 하루를 살아간다는 건 무의미하다고 생각한다. 그 나무가 모두를 살리게 되는 것처럼. 의미 없는 것은 없다. 어떤 마음을 가지고 그 일에 임하느냐의 차이다. 그리고, 하나를 빼먹었다. 브라이트빌의 노력이 결실을 맺은 순간, 그것을 바라보고 있는 로즈의 시선이다. 아마 그 때부터 그 로봇에겐 마음이라는 게 생겼을 것이다.

""너답게 날아. 남들 흉내내지 말고.""

[이 영화의 명장면]

1. 비행 준비

""떨어져도 괜찮아. 다음에 더 높이 날면 돼.""

쉽게 날지 못 한 자는 날고 있을 때의 순간을 음미할 줄 알게 된다. 떨어진 적이 더 많기에, 노력이 결실을 맺은 순간 특유의 황홀스러움을 영원히 잊지 못 하게 된다. 브라이트빌은 앞으로 기러기 사이에서 가장 잘 날아다니는 기러기가 될 것이다. 나는 사람이 뭔가에 열중할 수 있는 힘이 그 어떤 에너지보다 특별하다고 생각한다. 뭐 하나 보잘 것 없는 내가, 그나마 유일하게 자랑할 수 있는 것이 바로 영화에 몰입을 할 수 있고 그 영화를 사랑할 수 있다는 점이다. 나는 브라이트빌을 보며 자꾸 내 생각이 났다. 지금의 나는 비행을 준비 중이라고... 나도 언젠가는 저렇게 꼭 날아보고 싶다고. 사람들 사이에서 정말 잘 날아다니는 기러기가 되어보고 싶다고.

""피하지 말고 용기 있게 싸워 이겨내. 그럼 너의 진짜 모습을 알게 될 거야.""

2. 봄이 오기까지

건네지 못 한 말. 혹시라도 내 개입이 그 사람에게 방해가 될지도 모른다는 허튼 두려움. 그 많은 시간을 이 자리에서 기다리기만 했는데 쓸데없는 생각이 들 때가 자꾸 있다. 그만큼 사랑해서 그렇다. 그런데도 이 로봇은 그 순간까지 몰랐다. 그게 사랑이라는 걸. 문득 궁금해졌을 것이다. 사랑한다는 건 어떤 걸까, 하고. 그리고 그것이 그 마음을 직접 전해주는 것이라는 걸 알게 되었다. 그는 이제서야 브라이트빌을 향해 달려간다. 난 언젠가 내가 영화를 사랑하는 이 마음을 영화에게 직접 전해주고 싶다.

""뭔가를 사랑한다는 건 어떤 거죠?""

""사랑한다면, 얘기해 보지 그래.""

결국 로즈는 끝까지 자신이 지어준 그 멋진 이름을 기억한다
단 한 순간도 잊은 적 없을 것이다

로봇에게 있어 브라이트빌은
자신에게 마음을 만들어준 유일한 사람이니까

그 아이를 사랑하는 게 평생의 임무였으니까

""넌 그냥 날 로드라고 불러도 돼."""
3.5,"열어젖힌 마음의 문 사이로 보이는 활짝 펴진 날개
#포옹
#CGV"
보고싶어요,마당을 나온 바스티온?
4.0,알면서도 속아준다 ㅠㅠ
3.0,"""제 작업 수행 결과는 10점 만점에 몇 점인가요?""

<와일드 로봇>이라는 제목에 올바로 부합하는 이야기, 캐릭터, 감동."
3.5,"Good : 그렇게 어머니가 된다
Caution : 친숙한 이야기이긴 하다.
https://blog.naver.com/teruloved/223600561690"
4.5,"누구나 그렇게 엄마가 되어간다는 것, 모든 것을 잃을지라도 지키고 싶은 것이 생긴다는 것."
4.0,"한 줌 조차 서툴렀지만
결국
두 팔 가득 감싸 안아
온기를 나눈다"
