,Name,Country,Brand,Categories,ABV,Rating,Rate Count,Price
1248,Nikka Whisky From The Barrel,Japan,Nikka,"Japanese Whisky, Whiskey",51.4%,4.8,33,$89.99
1249,Nikka Coffey Grain Whisky,Japan,Nikka,"Japanese Whisky, Whiskey",45%,4.8,27,$71.99
1250,Nikka Coffey Malt Whisky,Japan,Nikka,"Japanese Whisky, Whiskey",45%,5.0,8,$80.00
1251,Nikka Taketsuru Pure Malt,Japan,Nikka,"Japanese Whisky, Whiskey",43%,5.0,6,$79.99
1252,Nikka Yoichi,Japan,Nikka,"Japanese Whisky, Whiskey",45%,5.0,2,$96.29
1253,Nikka Days Whisky,Japan,Nikka,"Japanese Whisky, Whiskey",40%,5.0,1,$59.99
1254,Nikka Single Malt Miyagikyo,Japan,Nikka,"Japanese Whisky, Whiskey",45%,5.0,1,$98.99
1255,Nikka Single Malt Yoichi 15 Year,Japan,Nikka,"Japanese Whisky, Whiskey",45%,5.0,1,$131.93
1256,Nikka Japanese Whiskey 21 Years,Japan,Nikka,"Japanese Whisky, Whiskey",43%,5.0,1,$499.99
1257,Nikka Taketsuru 17 Year,Japan,Nikka,"Japanese Whisky, Whiskey",43%,5.0,1,$307.99
1258,Nikka Miyagikyo 12 Year,Japan,Nikka,"Japanese Whisky, Whiskey",45%,5.0,1,$113.74
1259,Nikka Taketsuru 12 Year,Japan,Nikka,"Japanese Whisky, Whiskey",40%,5.0,1,$69.99
2329,Yamazaki 12 Year Old Whisky,Japan,The Yamazaki,"Japanese Whisky, Whiskey",43%,4.8,34,$137.99
2330,The Yamazaki Bourbon Barrel Single Malt 2013,Japan,The Yamazaki,"Japanese Whisky, Whiskey",48%,5.0,2,$0.00
2331,Yamazaki 18 Year Old Single Malt Japanese Whisky,Japan,The Yamazaki,"Japanese Whisky, Whiskey",43%,5.0,1,$775.98
2332,The Yamazaki Sherry Cask Single Malt,Japan,The Yamazaki,"Japanese Whisky, Whiskey",48%,5.0,1,$3295.00
2333,Yamazaki Mizunara 18 Years,Japan,The Yamazaki,"Japanese Whisky, Whiskey",48%,5.0,1,$3999.99
2334,Suntory Yamazaki Limited Edition 2015,Japan,The Yamazaki,"Japanese Whisky, Whiskey",43%,5.0,1,$499.99
2335,Akashi White Oak Japanese Blended Whisky,Japan,Akashi,"Japanese Whisky, Whiskey",40%,5.0,9,$47.99
2336,Akashi White Oak Ume Japanese Plum Whisky,Japan,Akashi,"Japanese Whisky, Whiskey",30.5%,5.0,1,$37.09
2337,Akashi White Oak Japanese Single Malt Whisky,Japan,Akashi,"Japanese Whisky, Whiskey",46%,2.5,2,$109.99
2338,Akashi White Oak Japanese Sherry Cask Single Malt Whisky,Japan,Akashi,"Japanese Whisky, Whiskey",50%,5.0,1,$249.76
2339,Akashi White Oak Sommelier Series: Japanese Pinot Noir Cask Single Malt Whisky,Japan,Akashi,"Japanese Whisky, Whiskey",50%,5.0,1,$224.99
2340,Akashi Eigashima White Oak Japanese Blended Whisky,Japan,Akashi,"Japanese Whisky, Whiskey",40%,5.0,1,$55.49
2341,Kurayoshi 12 Year Old Malt Whiskey,Japan,The Kurayoshi,"Japanese Whisky, Whiskey",43%,5.0,1,$99.99
