지역구분, 항목구분, 자료구분, 2018년, 2019년, 2020년, 2021년, 2022년
대구,  , 합계,826,812,803,804,793
대구,  ,         공립,469,475,477,484,487
대구,  ,         사립,357,337,326,320,306
대구,  , 유치원 소계,369,355,346,342,329
대구,  ,         공립유치원,105,111,113,115,116
대구,  ,         사립유치원,264,244,233,227,213
대구,  , 초등학교 소계,227,227,228,230,231
대구,  ,         공립초등학교,223,223,224,226,227
대구,  ,         사립초등학교,4,4,4,4,4
대구,  , 중학교 소계,124,124,123,124,124
대구,  ,         공립중학교,90,90,89,90,90
대구,  ,         사립중학교,34,34,34,34,34
대구,  , 고등학교 소계,92,92,92,93,93
대구,  ,         공립고등학교,43,43,43,44,44
대구,  ,         사립고등학교,49,49,49,49,49
대구,  , 특수학교 소계,9,9,9,10,11
대구,  ,         공립특수학교,3,3,3,4,5
대구,  ,         사립특수학교,6,6,6,6,6
대구,  , 기타학교 소계,5,5,5,5,5
대구,  ,         공립기타학교,5,5,5,5,5
대구,  ,         사립기타학교,0,0,0,0,0
