"전출지별","전입지별",2018,2019,2020,2021,2022,2023
"전출지별","전입지별",이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명)
"대구광역시","전국",335400,336092,364083,329080,276873,301579
"대구광역시","서울특별시",13749,14515,15216,14136,14020,13387
"대구광역시","부산광역시",4705,5166,5453,5058,5035,4710
"대구광역시","대구광역시",235621,231169,256068,221685,183787,212755
"대구광역시","인천광역시",1968,2090,2112,2014,1949,1931
"대구광역시","광주광역시",549,575,624,630,529,497
"대구광역시","대전광역시",2067,2167,2254,2239,2126,2007
"대구광역시","울산광역시",2601,2830,2941,2729,2562,2790
"대구광역시","세종특별자치시",887,818,879,841,867,666
"대구광역시","경기도",13227,13556,15024,14014,12206,11749
"대구광역시","강원특별자치도",1676,1712,1947,1866,1603,1559
"대구광역시","충청북도",2017,2172,2245,2284,2013,1873
"대구광역시","충청남도",2510,2550,2644,2588,2368,2420
"대구광역시","전북특별자치도",840,828,940,915,839,764
"대구광역시","전라남도",984,989,1044,1007,969,854
"대구광역시","경상북도",42744,45417,45117,47632,37784,35579
"대구광역시","경상남도",7684,8115,8214,8040,6926,6944
"대구광역시","제주특별자치도",1571,1423,1361,1402,1290,1094
