count,date,title,description,org_link,link
1,2024-08-15 20:44:00,"&quot;미 법무부, 구글 분할 검토 중...AI 검색에도 영향 미칠 수 있어&quot;","또 DOJ는 구글의 검색 우위가 <b>인공지능</b>(AI) 기술 개발에 유리하다는 우려도 제기했는데, 이에 따라 구글이 AI 검색에 웹사이트 활용을 강요하는 것을 금지할 수도 있을 것으로 봤다. 현재 구글이 서비스 중인 'AI 개요'는... ",https://www.aitimes.com/news/articleView.html?idxno=162538,https://www.aitimes.com/news/articleView.html?idxno=162538
2,2024-08-15 20:41:00,[세상 읽기]AI 구독경제 전환과 편향 속에 숨겨진 노동,| 김종진 일하는시민연구소 소장 지난 몇년 새 <b>인공지능</b>의 속도는 매우 빠르게 변화되고 있다. 오픈AI의 ‘챗GPT’ 고급 버전부터 마이크로소프트의 AI 서비스와 구글과 애플의 AI 음성 비서까지. 다양한 <b>인공지능</b>... ,https://www.khan.co.kr/opinion/column/article/202408152036005,https://n.news.naver.com/mnews/article/032/0003315215?sid=110
3,2024-08-15 20:40:00,"카카오, 사칭·피싱 계정 알려주는 ‘페이크 시그널’ 도입","페이크 시그널은 카카오의 '안티어뷰징 시스템'에 <b>인공지능</b>(AI), 머신러닝 등의 기술을 결합해 카카오톡 프로필 정보와 계정 및 사용 이력 등을 분석하고 사칭 가능성이 높은 프로필을 자동으로 탐지한다. 기관이나 유명인... ",http://www.metroseoul.co.kr/article/20240815500102,http://www.metroseoul.co.kr/article/20240815500102
4,2024-08-15 20:36:00,현존 중심 '나눔과 사회적 의무' 탐구,게다가 요즘은 최첨단 <b>인공지능</b>의 발달로 사람들의 '적절한 일자리'마저 계속 줄어들고 있다. 우리 주위에 점점 '잉여' 인간들이 늘어날 수밖에 없는 구조다. '분배정치의 시대'로 큰 주목을 받은 바 있는 미국 스탠퍼드... ,https://www.kbmaeil.com/news/articleView.html?idxno=1007860,https://www.kbmaeil.com/news/articleView.html?idxno=1007860
5,2024-08-15 20:30:00,양산 돌입한 'KF-21 보라매'…유럽서 주목하는 이유,"또 <b>인공지능</b>(AI), 빅데이터 등 4차 산업혁명 기술이 집약됐다. KF-21은 4.5세대 전투기로서 제4세대 전투기와 5세대 전투기 사이의 성능을 갖추고 있다. KF-21 보라매의 경쟁 모델로는 프랑스 라팔, 유로파이터 타이푼... ",http://www.inews24.com/view/1753219,https://n.news.naver.com/mnews/article/031/0000862244?sid=101
6,2024-08-15 20:20:00,찬란한 멸종 外[새책],"인류 대멸종 이후인 2150년 <b>인공지능</b>의 독백을 시작으로 화성 이주, 농업의 발명과 가축의 탄생, 나무와 석탄의 탄생, 생명의 시작에 이르기까지 46억년 지구의 역사를 시간 역순으로 풀어나간다. 이정모 지음.... ",https://www.khan.co.kr/culture/culture-general/article/202408152017015,https://n.news.naver.com/mnews/article/032/0003315196?sid=103
7,2024-08-15 20:20:00,"소프트뱅크-인텔, '엔비디아 대항' AI칩 생산 협상 결렬","일본 소프트뱅크가 엔비디아에 대항할 <b>인공지능</b>(AI) 칩을 생산하고자 인텔에 손을 내밀었으나, 협상이 결렬된 것으로 파악됐다. 15일 연합뉴스에 따르면 영국 일간 파이낸셜타임스(FT)는 14일(현지시간) 복수의 익명... ",https://www.newsway.co.kr/news/view?ud=2024081520102931298,https://www.newsway.co.kr/news/view?ud=2024081520102931298
8,2024-08-15 20:10:00,광주·전남서도 제79주년 광복절 경축식 거행,"이날 전남도청 윤선도홀(1층 로비)에서는 ‘<b>인공지능</b>(AI)으로 만나는 독립투사’ 특별전시가 열려 독립투사들의 생생한 눈빛과 표정, 음성 등을 통해 나라사랑 정신과 굳은 의지를 다시금 일깨워줘 큰 호응을 얻었다.... ",http://www.kjdaily.com/article.php?aid=1723719062637783002,http://www.kjdaily.com/article.php?aid=1723719062637783002
9,2024-08-15 20:08:00,"애플, '탁상용 로봇' 개발 박차...&quot;136만원으로 2026년 출시 목표&quot;","하지만 애플의 기기는 <b>인공지능</b>(AI) 기능을 탑재, 사람의 움직임을 읽고 대화를 이해하며 이에 맞춰 각종 업무를 처리해 준다. 사람의 움직임에 맞춰 디스플레이를 위아래로 기울이거나 360도로 회전하며 추적할 수... ",https://www.aitimes.com/news/articleView.html?idxno=162537,https://www.aitimes.com/news/articleView.html?idxno=162537
10,2024-08-15 20:07:00,"반도체 덕에 ICT 수출, 9개월 연속 증가","특히 반도체는 <b>인공지능</b>(AI) 시장 성장, 정보기술(IT)기기 시장 회복에 따른 수요 확대 등으로 수출이 9개월 연속 두 자릿수 증가를 이어갔다. 메모리반도체 고정 거래가격이 상승하고, 고대역폭메모리(HBM) 등... ",https://www.khan.co.kr/economy/economy-general/article/202408152002025,https://n.news.naver.com/mnews/article/032/0003315184?sid=101
